block_date,block_number,block_time,num_trades,dex_swaps,batch_value,solver_address,tx_hash,gas_price,gas_used,tx_cost_usd,fee_value,call_data_size,unwraps,token_approvals,block_number,transaction_hash,sandwich_id,trace_address,block_number,backrun_swap_transaction_hash,frontrun_swap_transaction_hash,profit_token_address,sandwicher_address,backrun_swap_trace_address,frontrun_swap_trace_address,id,profit_amount
2022-03-18,1.4409465e+07,2022-03-18 08:57:28.000 UTC,2,1,14746.414443205076,0x2d15894fac906386ff7f4bd07fceac43fcf80c73,0x546b6ad4104f3fce2a950a381dd7c042782e05a66b796175803d3ec104060ace,5.0326595735e+10,388865,55.03604879905968,46.03503679492316,5,0,0,1.4409465e+07,0x546b6ad4104f3fce2a950a381dd7c042782e05a66b796175803d3ec104060ace,6df13b1f-b0aa-4628-8080-7b53fa868325,"[2,0,1,0,0]",1.4409465e+07,0xcb3eeda0c34cf504510cebfb3ce535dd9e722603580e6e04ac3b5f4c7c442583,0x2e39aded06f8e647a5ea48e0978c9b9fc6e5f14d7c71cb33d48a49bc568ee938,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdef1c0ded9bec7f1a1670819833240f027b25eff,"[0,2,0,1]","[5,0,1]",6df13b1f-b0aa-4628-8080-7b53fa868325,8231682401
2023-03-06,1.6768134e+07,2023-03-06 08:29:35.000 UTC,1,3,20030.662051910454,0x97ec0a17432d71a3234ef7173c6b48a2c0940896,0x6153ee812889095e7e1dc98880a1d72d5e5775fd7e84536c26f55557095e5cb2,2.0369285817e+10,388861,12.383728152982894,19.887695681807095,5,0,0,1.6768134e+07,0x6153ee812889095e7e1dc98880a1d72d5e5775fd7e84536c26f55557095e5cb2,e92b20f9-0300-41c4-b2a2-b01c8d84055d,"[4,0]",1.6768134e+07,0x19f0e51afe4c66e599a32ad59e62860c131af45afc2b7ef9a6e7c2b6b6a0f3d9,0x4c9b05bd57069394b2ca1247dfa007e7b9aa6cb516bea7231f39c039682d590d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x000000000035b5e5ad9019092c665357240f594e,[0],[0],e92b20f9-0300-41c4-b2a2-b01c8d84055d,6376173070918155
2023-03-11,1.6801858e+07,2023-03-11 02:24:35.000 UTC,6,5,398795.0086551008,0x398890be7c4fac5d766e1aeffde44b2ee99f38ef,0x7a9692a4a264a7362a65102d656952217f583f7b4257860e22a0aa9cdeecd3e6,9.1098106411e+10,1.210103e+06,162.8106378713871,372.2291668767658,15,0,0,1.6801858e+07,0x7a9692a4a264a7362a65102d656952217f583f7b4257860e22a0aa9cdeecd3e6,b2c12133-8cf0-498f-8366-6364ee1121f2,"[6,5,0]",1.6801858e+07,0xbbf27443b374f15eaf73cbd408ea37f6c429ee836d32992e8b4be508f7438889,0xc049fd5d640c3f8ee2439ea1355bfaf74b3544221d9f87f05701fc0074037212,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,"[1,0,0,0,0,3,1,1,0]","[1,2,0]",b2c12133-8cf0-498f-8366-6364ee1121f2,119666339246
2021-11-19,1.3643609e+07,2021-11-19 04:37:39.000 UTC,1,1,252634.31083030393,0xe92f359e6f05564849afa933ce8f62b8007a1d5d,0x8c656ea4e30b150271821f533a28ba900a10cf253a54a58c87d52ebd7ff79641,1.61148373577e+11,319469,208.20468390169077,130.04241072761602,4,0,0,1.3643609e+07,0x8c656ea4e30b150271821f533a28ba900a10cf253a54a58c87d52ebd7ff79641,c86e1762-b335-4b6c-bff4-d56a9a3284e8,"[2,0,2,0,0]",1.3643609e+07,0x29c3d5543bca45223778fd713c48bb5e4b22f84510b98bcc4771b8d7dd7207a3,0x62456414dc51ca23768e87f82b5d53f821a92d7d27afd74cd281f08ded77c7cf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x000000005736775feb0c8568e7dee77222a26880,[0],[0],c86e1762-b335-4b6c-bff4-d56a9a3284e8,95201358294190188
2021-12-16,1.3816951e+07,2021-12-16 15:20:27.000 UTC,1,1,343914.7993109952,0x15f4c337122ec23859ec73bec00ab38445e45304,0x7081e39aeaff425eb2b32e03d25b614e39b722f76b070a5fca1b7438adc5bb14,2.44685071911e+11,683124,678.1502737570336,773.1790201311641,6,0,0,1.3816951e+07,0x7081e39aeaff425eb2b32e03d25b614e39b722f76b070a5fca1b7438adc5bb14,7aad2771-c57e-4d1a-aa20-b83a96394912,"[2,0,4,3]",1.3816951e+07,0x549e8fc387ad55c9cb8122595ddb1c02ac357266f0bff28c2c3a056be84f1f93,0x1bf9ad322138167e5c48f9fa2e32b902f5d2a5b02fed3cd39820c1e272fc0f50,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x00000000003b3cc22af3ae1eac0440bcee416b40,[1],[1],7aad2771-c57e-4d1a-aa20-b83a96394912,246901903022096384
2023-02-28,1.6729268e+07,2023-02-28 21:16:59.000 UTC,1,2,7162.677000000001,0xc9ec550bea1c64d779124b23a26292cc223327b6,0x752214415be4e1bc4332c775566a0beec17e5f08c778ac0fdb21c87569ee2c2b,3.2535303217e+10,408394,21.524902030967006,12.36220555469969,3,0,0,1.6729268e+07,0x752214415be4e1bc4332c775566a0beec17e5f08c778ac0fdb21c87569ee2c2b,258e4c57-db1c-405c-92bf-c1f5a64daf39,"[2,4]",1.6729268e+07,0xb47889e2689e709138dba53afc62023454bf205f8a208abca86a72c8158dfd90,0x2baaa5cc271f387b26919e25d12eafc0f231e83ec2bb37e31ee7f7a4a0faab76,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,[1],[1],258e4c57-db1c-405c-92bf-c1f5a64daf39,9059552204076854
2021-09-01,1.3140092e+07,2021-09-01 13:35:53.000 UTC,1,1,,0xa6ddbd0de6b310819b49f680f65871bee85f517e,0x6830a37d2b1d602ff82a3dfe5567d0029a5f9fa1ffd45c5c65c377814783c23f,1.09590283064e+11,232182,89.5349739131822,,2,0,0,1.3140092e+07,0x6830a37d2b1d602ff82a3dfe5567d0029a5f9fa1ffd45c5c65c377814783c23f,235d3b7b-0b94-456a-bd39-675b6051d60b,"[2,4]",1.3140092e+07,0x3f17aaacd894787ba8c682697aa91180ad122203b1531027c26de03ba1c5fb2d,0xe6bd19e3e70d8f5533f5863168fbc821f57618956f7efc2a0ecc3db82f2fae7e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbcc7f6355bc08f6b7d3a41322ce4627118314763,[1],[1],235d3b7b-0b94-456a-bd39-675b6051d60b,22694856771305293
2023-03-05,1.6761124e+07,2023-03-05 08:50:35.000 UTC,1,2,12894.798494218927,0xb20b86c4e6deeb432a22d773a221898bbbd03036,0xae3a5571ee1372e78983f16455342985c63e8fbbc1d5ae7f101c2bc974582dbf,1.8988645749e+10,203809,6.075137922770647,4.083765781075136,3,0,0,1.6761124e+07,0xae3a5571ee1372e78983f16455342985c63e8fbbc1d5ae7f101c2bc974582dbf,a9a81cfa-fcf5-4b2a-841f-3b7ff6028c4d,"[4,2]",1.6761124e+07,0xd96b83665faf0efdcfa4763e2a50074218aea9f9be5c79355f1935fc59066c15,0xebff494b8e69640ed7875a9d26e86e0126d0cbf775f2429eecace62b18fbe488,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,[1],[1],a9a81cfa-fcf5-4b2a-841f-3b7ff6028c4d,8706821618731008
2023-03-13,1.6820659e+07,2023-03-13 17:50:23.000 UTC,1,1,2.0340771679887997e+06,0x6d1247b8acf4dfd5ff8cfd6c47077ddc43d4500e,0xf4873f79c772ef8f8201c4522d585bd9e5f53d4da7e21033b86641197a737d15,2.9300100621e+10,666630,32.65004094701437,42.22446093718927,7,0,0,1.6820659e+07,0xf4873f79c772ef8f8201c4522d585bd9e5f53d4da7e21033b86641197a737d15,2985981c-d6e8-417d-8cf0-01481ba78deb,"[2,0,2,0,3,1,0]",1.6820659e+07,0x3efc665adfce6e5d239917daefe8796c4bf38e04a9c583ffeb520f8f127a4ff4,0xc0a413c13c6e6304cae072b2fcbd6c869f34b178eb555e40ca7cbfffd0e724e2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0000000099cb7fc48a935bceb9f05bbae54e8987,[0],[0],2985981c-d6e8-417d-8cf0-01481ba78deb,44125685
2022-06-11,1.4942977e+07,2022-06-11 07:13:13.000 UTC,1,1,4307.620130572997,0x6fa201c3aff9f1e4897ed14c7326cf27548d9c35,0xb74f572a014e53fc09ef0af65f774c80204f35f508c2b71c3ee553108875557b,2.7342742798e+10,486754,22.215965176835386,13.347427180321919,11,0,0,1.4942977e+07,0xb74f572a014e53fc09ef0af65f774c80204f35f508c2b71c3ee553108875557b,f1f3af7c-899e-4810-b3ef-e1db05950fb2,"[2,1,3,1]",1.4942977e+07,0xd7761f3a0a8cffc302ba755baaebdb8b4e21ab85dae8ac0e2a82487942137173,0x817b8f3d1729aab7b44204dc4fca307c40466d6a75ab8c630f95f7211e612607,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdef1c0ded9bec7f1a1670819833240f027b25eff,"[1,0,1,0,1]","[5,0,0]",f1f3af7c-899e-4810-b3ef-e1db05950fb2,1023405318
